gvkey,date,cds
100022,2014-01-01,5.71
100022,2014-01-02,5.71
100022,2014-01-03,5.7
100022,2014-01-06,5.7
100022,2014-01-07,5.69
100022,2014-01-08,5.77
100022,2014-01-09,5.76
100022,2014-01-10,5.76
100022,2014-01-13,7.26
100022,2014-01-14,7.33
100022,2014-01-15,7.32
100022,2014-01-16,7.32
100022,2014-01-17,7.33
100022,2014-01-20,7.3
100022,2014-01-21,7.3
100022,2014-01-22,7.34
100022,2014-01-23,7.41
100022,2014-01-24,11.71
100022,2014-01-27,15.02
100022,2014-01-28,13.02
100022,2014-01-29,12.0
100022,2014-01-30,14.22
100022,2014-01-31,15.23
100022,2014-02-03,15.81
100022,2014-02-04,17.31
100022,2014-02-05,16.14
100022,2014-02-06,15.54
100022,2014-02-07,15.35
100022,2014-02-10,13.77
100022,2014-02-11,13.18
100022,2014-02-12,13.09
100022,2014-02-13,13.27
100022,2014-02-14,13.18
100022,2014-02-17,13.09
100022,2014-02-18,13.09
100022,2014-02-19,13.18
100022,2014-02-20,18.19
100022,2014-02-21,13.67
100022,2014-02-24,13.58
100022,2014-02-25,12.49
100022,2014-02-26,12.49
100022,2014-02-27,12.58
100022,2014-02-28,12.54
100022,2014-03-03,12.67
100022,2014-03-04,12.59
100022,2014-03-05,12.09
100022,2014-03-06,11.3
100022,2014-03-07,10.79
100022,2014-03-10,10.29
100022,2014-03-11,10.3
100022,2014-03-12,11.89
100022,2014-03-13,12.66
100022,2014-03-14,13.33
100022,2014-03-17,12.65
100022,2014-03-18,12.06
100022,2014-03-19,12.06
100022,2014-03-20,12.1
100022,2014-03-21,12.1
100022,2014-03-24,12.1
100022,2014-03-25,12.11
100022,2014-03-26,11.53
100022,2014-03-27,12.43
100022,2014-03-28,11.34
100022,2014-03-31,11.34
100022,2014-04-01,10.25
100022,2014-04-02,10.6
100022,2014-04-03,9.66
100022,2014-04-04,9.48
100022,2014-04-07,9.66
100022,2014-04-08,9.66
100022,2014-04-09,9.66
100022,2014-04-10,9.57
100022,2014-04-11,9.25
100022,2014-04-14,9.25
100022,2014-04-15,9.85
100022,2014-04-16,9.84
100022,2014-04-17,9.84
100022,2014-04-18,9.84
100022,2014-04-21,9.84
100022,2014-04-22,9.83
100022,2014-04-23,9.74
100022,2014-04-24,9.73
100022,2014-04-25,9.73
100022,2014-04-28,9.74
100022,2014-04-29,9.75
100022,2014-04-30,9.08
100022,2014-05-01,8.89
100022,2014-05-02,8.48
100022,2014-05-05,8.48
100022,2014-05-06,8.48
100022,2014-05-07,8.48
100022,2014-05-08,6.71
100022,2014-05-09,8.21
100022,2014-05-12,7.19
100022,2014-05-13,7.01
100022,2014-05-14,7.2
100022,2014-05-15,7.74
100022,2014-05-16,7.57
100022,2014-05-19,7.92
100022,2014-05-20,7.92
100022,2014-05-21,9.08
100022,2014-05-22,7.92
100022,2014-05-23,7.92
100022,2014-05-26,7.92
100022,2014-05-27,7.38
100022,2014-05-28,7.4
100022,2014-05-29,7.21
100022,2014-05-30,7.03
100022,2014-06-02,6.85
100022,2014-06-03,6.85
100022,2014-06-04,6.86
100022,2014-06-05,6.68
100022,2014-06-06,6.68
100022,2014-06-09,6.67
100022,2014-06-10,6.48
100022,2014-06-11,6.48
100022,2014-06-12,6.48
100022,2014-06-13,6.58
100022,2014-06-16,6.68
100022,2014-06-17,5.45
100022,2014-06-18,5.44
100022,2014-06-19,5.35
100022,2014-06-20,5.39
100022,2014-06-23,5.47
100022,2014-06-24,5.48
100022,2014-06-25,6.65
100022,2014-06-26,6.65
100022,2014-06-27,6.74
100022,2014-06-30,7.74
100022,2014-07-01,7.74
100022,2014-07-02,7.74
100022,2014-07-03,6.47
100022,2014-07-04,6.47
100022,2014-07-07,6.47
100022,2014-07-08,6.56
100022,2014-07-09,7.74
100022,2014-07-10,8.73
100022,2014-07-11,8.91
100022,2014-07-14,8.73
100022,2014-07-15,8.73
100022,2014-07-16,7.68
100022,2014-07-17,7.64
100022,2014-07-18,7.64
100022,2014-07-21,7.63
100022,2014-07-22,7.63
100022,2014-07-23,7.63
100022,2014-07-24,7.62
100022,2014-07-25,7.62
100022,2014-07-28,7.63
100022,2014-07-29,7.62
100022,2014-07-30,7.62
100022,2014-07-31,8.21
100022,2014-08-01,8.8
100022,2014-08-04,8.8
100022,2014-08-05,8.3
100022,2014-08-06,8.39
100022,2014-08-07,9.49
100022,2014-08-08,7.94
100022,2014-08-11,9.57
100022,2014-08-12,8.81
100022,2014-08-13,8.31
100022,2014-08-14,8.31
100022,2014-08-15,7.81
100022,2014-08-18,7.56
100022,2014-08-19,7.48
100022,2014-08-20,6.73
100022,2014-08-21,6.63
100022,2014-08-22,6.38
100022,2014-08-25,6.38
100022,2014-08-26,5.36
100022,2014-08-27,5.37
100022,2014-08-28,5.86
100022,2014-08-29,5.71
100022,2014-09-01,5.71
100022,2014-09-02,5.63
