gvkey,company,date,alpha,beta,delta,mu,A_used,L_used,PD_P_1y,PD_Q_1y,q_feasible,train_end_date,train_end_anchor,oos_end_anchor,training_end
100022,BAYERISCHE MOTOREN WERKE AKT,2014-03-28,2.25,0.0002747601109967987,0.0002726098309654008,0.0013964736530247025,158142440953.47327,102725000000.0,0.002152784081039501,,False,2014-03-28,2014-03-31,2014-06-30,1
100022,BAYERISCHE MOTOREN WERKE AKT,2014-06-27,2.25,0.00044202625238385745,0.00025130630501247586,0.0018574613143159783,158338245627.2157,102725000000.0,0.0017627731870682088,,False,2014-06-27,2014-06-30,2014-09-30,1
100022,BAYERISCHE MOTOREN WERKE AKT,2014-09-26,2.25,0.0003192947555982504,0.0002660927114957792,0.0016083227508095431,154377288548.74353,102725000000.0,0.0022323620404614444,,False,2014-09-26,2014-09-30,2014-12-31,1
100022,BAYERISCHE MOTOREN WERKE AKT,2014-12-26,2.25,0.0002675091894550146,0.0002741313670041728,0.0011134897902490217,157485818920.1986,102725000000.0,0.0023658739235320764,,False,2014-12-26,2014-12-31,2015-03-31,1
100957,IBERDROLA SA,2014-03-28,2.25,-0.0007487583337970968,0.0003348654676533628,4.79133544899316e-05,89465128996.61235,57050393000.0,0.003409764896117425,0.0055842334022587195,True,2014-03-28,2014-03-31,2014-06-30,1
100957,IBERDROLA SA,2014-04-04,2.25,-0.0007487583337970968,0.0003348654676533628,4.79133544899316e-05,89447417363.44994,57050393000.0,0.003413075736591266,0.005485234206286914,True,2014-03-28,2014-03-31,2014-06-30,0
100957,IBERDROLA SA,2014-04-11,2.25,-0.0007487583337970968,0.0003348654676533628,4.79133544899316e-05,87517029823.20827,57050393000.0,0.0038033684688815192,0.006074916674998953,True,2014-03-28,2014-03-31,2014-06-30,0
100957,IBERDROLA SA,2014-04-18,2.25,-0.0007487583337970968,0.0003348654676533628,4.79133544899316e-05,87887142178.00711,57050393000.0,0.00372375804942899,0.0060340808219202825,True,2014-03-28,2014-03-31,2014-06-30,0
100957,IBERDROLA SA,2014-04-25,2.25,-0.0007487583337970968,0.0003348654676533628,4.79133544899316e-05,88353049676.1573,57050393000.0,0.003626891535525975,0.005789080828661846,True,2014-03-28,2014-03-31,2014-06-30,0
100957,IBERDROLA SA,2014-05-02,2.25,-0.0007487583337970968,0.0003348654676533628,4.79133544899316e-05,89362165082.90314,57050393000.0,0.003429076329838736,0.005660475201219382,True,2014-03-28,2014-03-31,2014-06-30,0
100957,IBERDROLA SA,2014-05-09,2.25,-0.0007487583337970968,0.0003348654676533628,4.79133544899316e-05,89899232698.40292,57050393000.0,0.0033300296157130213,0.005599560706902115,True,2014-03-28,2014-03-31,2014-06-30,0
100957,IBERDROLA SA,2014-05-16,2.25,-0.0007487583337970968,0.0003348654676533628,4.79133544899316e-05,89903522689.8201,57050393000.0,0.0033292549668154816,0.005698755100743734,True,2014-03-28,2014-03-31,2014-06-30,0
100957,IBERDROLA SA,2014-05-23,2.25,-0.0007487583337970968,0.0003348654676533628,4.79133544899316e-05,90231593979.97818,57050393000.0,0.003270767509394358,0.005706009597837939,True,2014-03-28,2014-03-31,2014-06-30,0
100957,IBERDROLA SA,2014-05-30,2.25,-0.0007487583337970968,0.0003348654676533628,4.79133544899316e-05,90678276562.007,57050393000.0,0.0031934616845273153,0.0056621591057073855,True,2014-03-28,2014-03-31,2014-06-30,0
100957,IBERDROLA SA,2014-06-06,2.25,-0.0007487583337970968,0.0003348654676533628,4.79133544899316e-05,91309478069.01633,57050393000.0,0.0030885870378142078,0.0055742930419492645,True,2014-03-28,2014-03-31,2014-06-30,0
100957,IBERDROLA SA,2014-06-13,2.25,-0.0007487583337970968,0.0003348654676533628,4.79133544899316e-05,91899712422.46545,57050393000.0,0.0029948965288610343,0.005658079994299353,True,2014-03-28,2014-03-31,2014-06-30,0
100957,IBERDROLA SA,2014-06-20,2.25,-0.0007487583337970968,0.0003348654676533628,4.79133544899316e-05,92229333575.3186,57050393000.0,0.0029443241190867334,0.005504315925315813,True,2014-03-28,2014-03-31,2014-06-30,0
100957,IBERDROLA SA,2014-06-27,2.25,-0.0006715559965634452,0.00031001721994622605,0.000732175171034147,92653408970.065,57050393000.0,0.0022543221227069783,,False,2014-06-27,2014-06-30,2014-09-30,1
101202,L'AIR LIQUIDE SA,2014-03-28,2.25,-0.00025677622229741405,0.00042144034698036054,0.000593946438370544,45191561102.77207,14206500000.0,0.00024741363347701784,0.01485753046874618,True,2014-03-28,2014-03-31,2014-06-30,1
