date,market_cap,debt_face,rf,A_oos_mean,A_oos_median,A_oos_q05,A_oos_q95,theta_oos_mean,theta_oos_median,theta_oos_q05,theta_oos_q95,PD_P_mean,PD_P_median,PD_P_q05,PD_P_q95,PD_Q_mean,PD_Q_median,PD_Q_q05,PD_Q_q95,gvkey,window_train_start,window_train_end,window_oos_start,window_oos_end,window_idx
2016-01-01,58772790985.479996,117366000000.0,-0.0039681064438854725,176605433026.92407,176605435096.08246,176605419852.41376,176605436822.404,-4.757158283750274,-5.406781175815468,-16.69257751889154,9.274985510016272,2.3225916305600225e-05,9.521656422315507e-08,2.4060768913744946e-10,0.00012010984504563004,1.910035002850462e-06,1.0229855540563312e-06,1.1423335981851771e-07,7.736308206817427e-06,100022,2014-01-03,2015-12-25,2016-01-01,2016-03-25,0.0
2016-01-08,50230479154.24,117366000000.0,-0.004354404010770185,168108597056.5351,168108617332.46912,168108454212.6214,168108646899.08893,-4.809559698108211,-5.4543166243256564,-16.75234095543292,9.224950050232932,0.00017180566570189752,1.972047079012063e-06,9.599337405867863e-09,0.0009124486948326827,2.4154459209576776e-05,1.6705814688633697e-05,3.0753592613125168e-06,7.97028852152569e-05,100022,2014-01-03,2015-12-25,2016-01-01,2016-03-25,0.0
2016-01-15,46967665191.92,117366000000.0,-0.00419042178824033,164826364635.47696,164826409706.48883,164826029466.41757,164826491196.2775,-4.787314683764265,-5.4341373166544145,-16.72697065366151,9.24631580905348,0.00035274188830979004,6.09682702596769e-06,3.815078433389819e-08,0.001889639119930129,6.092606204389717e-05,4.549045609859291e-05,1.0003837657152066e-05,0.0001842609085862713,100022,2014-01-03,2015-12-25,2016-01-01,2016-03-25,0.0
2016-01-22,47985037073.159996,117366000000.0,-0.0043253692270820475,165859679818.92334,165859715142.47443,165859421801.27878,165859774860.44836,-4.80562090152582,-5.450743595595668,-16.74784877975885,9.22873316177693,0.00028218468817000226,4.2898280993604485e-06,2.454422385699923e-08,0.0015078777335406073,4.581946191593535e-05,3.344596774490648e-05,6.964995394007853e-06,0.00014244494889581328,100022,2014-01-03,2015-12-25,2016-01-01,2016-03-25,0.0
2016-01-29,46148951725.36,117366000000.0,-0.004507965977424311,164045042429.84686,164045097335.71548,164044627750.26865,164045202242.12158,-4.8303921721552525,-5.473214499306778,-16.77370100978369,9.204941003761546,0.0004167395587290082,7.90402976603996e-06,5.312564063107229e-08,0.002235790876474149,7.684172594203686e-05,5.8400853354486964e-05,1.3422413373851286e-05,0.00022714756138403827,100022,2014-01-03,2015-12-25,2016-01-01,2016-03-25,0.0
2016-02-05,43590472142.36,117366000000.0,-0.0045924088331738225,161496315562.4455,161496414490.8545,161495528018.64423,161496638992.7637,-4.8418482520227855,-5.4836066890648,-16.78505619451853,9.193937740344339,0.0007092073938072868,1.7567231003166953e-05,1.5416851657837742e-07,0.0037174737937846355,0.00015544315486592752,0.00012424949631689047,3.262068504147167e-05,0.0004275911956026455,100022,2014-01-03,2015-12-25,2016-01-01,2016-03-25,0.0
2016-02-12,42296182470.96001,117366000000.0,-0.004854214196369675,160232723947.089,160232855968.04718,160231641184.5809,160233183294.88507,-4.8773684063815566,-5.5158280811015175,-16.820263520867776,9.15982157382173,0.0009167240452171536,2.6055399431484372e-05,2.592063621046419e-07,0.004780112632843423,0.00022100293347999112,0.0001807967880793246,5.069560315837672e-05,0.0005856716385065547,100022,2014-01-03,2015-12-25,2016-01-01,2016-03-25,0.0
2016-02-19,44445305320.68,117366000000.0,-0.0049035102670349625,162387918679.92157,162388000466.71375,162387279337.2787,162388175776.88638,-4.884056917300037,-5.521895409115132,-16.82689312610605,9.15339743769146,0.0005900913637471676,1.3289618410027252e-05,1.0647954424797424e-07,0.003118157385317839,0.00012349118850518332,9.715071369981278e-05,2.442442669636712e-05,0.0003479366331953628,100022,2014-01-03,2015-12-25,2016-01-01,2016-03-25,0.0
2016-02-26,44481425032.44,117366000000.0,-0.005039624489232013,162440095878.98,162440177100.2829,162439461377.6289,162440350826.4775,-4.902525478291864,-5.538648704488878,-16.845199035259746,9.13565888014455,0.0005837345560863454,1.3073461569320022e-05,1.0418901019148215e-07,0.0030860314401048544,0.0001224428727304031,9.626710743863093e-05,2.4162895060284868e-05,0.0003452928245308692,100022,2014-01-03,2015-12-25,2016-01-01,2016-03-25,0.0
2016-03-04,49742863045.479996,117366000000.0,-0.005090166714876379,167707733898.50833,167707757004.1585,167707569830.93307,167707791852.70316,-4.909383461435906,-5.5448697409779015,-16.851996620690578,9.129071972036858,0.00018788995694225686,2.2677680166916995e-06,1.1313535088812318e-08,0.0009990186036499952,2.8027099272448248e-05,1.9634386311037066e-05,3.7193518597778806e-06,9.124654762082912e-05,100022,2014-01-03,2015-12-25,2016-01-01,2016-03-25,0.0
2016-03-11,47389061829.12,117366000000.0,-0.004514127762970936,165285935489.4467,165285976368.9016,165285633725.70184,165286048292.53665,-4.831228110906407,-5.473972807679274,-16.774529586304517,9.204138106536133,0.0003195311747512589,5.216715361970873e-06,3.136898798749514e-08,0.001709869495436216,5.431836379450564e-05,4.0191951499501526e-05,8.646534669902548e-06,0.00016612989769262154,100022,2014-01-03,2015-12-25,2016-01-01,2016-03-25,0.0
2016-03-18,49110768089.68,129410000000.0,-0.004798085335352043,179142853098.95288,179142941261.49307,179142165338.09427,179143128993.7303,-4.869752943477624,-5.508919882372993,-16.81271512746421,9.167136023070547,0.0005800851523500209,1.294993270219055e-05,1.0288580410075515e-07,0.0030675732940430175,0.00012019752486607859,9.43805774659275e-05,2.3607758555178444e-05,0.0003395958817452051,100022,2014-01-03,2015-12-25,2016-01-01,2016-03-25,0.0
2016-03-25,47906777697.68,129410000000.0,-0.004772163451317839,177935371941.48386,177935484738.1435,177934471048.17526,177935743286.1168,-4.8662359533706026,-5.505729519836223,-16.80922911160128,9.17051399855732,0.0007270180848178079,1.8242857014584352e-05,1.6208234429472923e-07,0.0038066781507487333,0.00016184997986583074,0.0001297224822516126,3.4315748795915626e-05,0.0004433425879791031,100022,2014-01-03,2015-12-25,2016-01-01,2016-03-25,0.0
2016-04-01,46955625288.0,129410000000.0,-0.004837807331449042,1153989334896.4495,176991730891.9408,176982812787.14902,10214676081084.89,1.7959538761019833,2.5978203405491493,-10.650438603334537,13.269445918763772,0.005065997422059085,0.000798767240351301,4.461250538695137e-181,0.0284334995368545,0.0007673421453700892,0.0004658180725903827,4.587055852205953e-180,0.0025184844425054,100022,2014-04-04,2016-03-25,2016-04-01,2016-06-24,1.0
2016-04-08,44728243062.799995,129410000000.0,-0.0050752543855854945,1142891989783.1157,174794228320.57336,174781445060.95648,9359032824390.137,1.7667705618422034,2.567037246595855,-10.68710984450142,13.245786453058562,0.006766292233323128,0.0012544208040626765,4.3153177198606835e-181,0.03655414886100942,0.0011418122853220822,0.0007510051545822011,9.520058256565033e-177,0.003594260523643926,100022,2014-04-04,2016-03-25,2016-04-01,2016-06-24,1.0
2016-04-15,47178363510.520004,129410000000.0,-0.005192512967785851,1154628187410.4565,177260668892.37103,177252040266.93338,10219218657800.223,1.7523595356420139,2.5518362830653225,-10.705214058266563,13.234103095151312,0.004891633453786557,0.000753849036839446,4.2450385053801306e-181,0.027550385958876,0.0007405040763131646,0.00044585335457158896,5.546649219360336e-180,0.0024372757094944008,100022,2014-04-04,2016-03-25,2016-04-01,2016-06-24,1.0
